trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.9588697805724845}",35,2,-236.09134247333827,"{0: 15, 1: 1, 2: 13, 3: 2, 4: 2}",1
43,False,"{'a': 0.2, 'e': 0.9579113900670306}",35,0,-134.01334846479247,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.2, 'e': 0.9569539574730467}",20,0,-103.2661162298649,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.9559974818331}",30,0,-180.98624496261363,"{0: 13, 1: 9, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.2, 'e': 0.9550419621907147}",25,0,-123.7341326497304,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
47,False,"{'a': 0.2, 'e': 0.9540873975903711}",25,0,-104.25157843775682,"{0: 12, 1: 2, 2: 11, 3: 0, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.9531337870775047}",25,0,-66.00743920993672,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.9521811296985049}",20,0,-112.41399872125427,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
50,False,"{'a': 0.2, 'e': 0.951229424500714}",35,0,-163.81199962126416,"{0: 22, 1: 3, 2: 7, 3: 1, 4: 2}",0
51,False,"{'a': 0.2, 'e': 0.950278670532427}",35,0,-190.67987192044612,"{0: 23, 1: 3, 2: 4, 3: 2, 4: 3}",0
52,False,"{'a': 0.2, 'e': 0.9493288668428895}",25,0,-123.7153131637702,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
53,False,"{'a': 0.2, 'e': 0.9483800124822982}",20,0,-8.642910511311767,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.2, 'e': 0.9474321065017983}",35,23,-65.85752383771465,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
55,False,"{'a': 0.2, 'e': 0.9464851479534838}",25,0,-189.9123067002567,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
56,False,"{'a': 0.2, 'e': 0.9455391358903963}",20,11,-6.8684669795277635,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.9445940693665233}",30,7,-145.78685740140915,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 1}",1
58,False,"{'a': 0.2, 'e': 0.9436499474367985}",25,14,-56.052140363669565,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.2, 'e': 0.9427067691570997}",20,10,-102.18422011054966,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 2}",1
60,False,"{'a': 0.2, 'e': 0.9417645335842487}",30,0,-101.82526114829493,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.9408232397760097}",30,0,-108.67755298478716,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.2, 'e': 0.9398828867910889}",30,0,-112.7394503964223,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
63,False,"{'a': 0.2, 'e': 0.9389434736891332}",30,0,-167.32508661919272,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
64,False,"{'a': 0.2, 'e': 0.9380049995307295}",20,0,-143.21093900320483,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.2, 'e': 0.9370674633774034}",20,0,-56.288765119328154,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
